date,open,high,low,close,volume,adj_close
1/2/15,111.39,111.44,107.35,109.33,53204600,109.33
1/5/15,108.29,108.65,105.41,106.25,64285500,106.25
1/6/15,106.54,107.43,104.63,106.26,65797100,106.26
1/7/15,107.2,108.2,106.7,107.75,40105900,107.75
1/8/15,109.23,112.15,108.7,111.89,59364500,111.89
1/9/15,112.67,113.25,110.21,112.01,53699500,112.01
1/12/15,112.6,112.63,108.8,109.25,49650800,109.25
1/13/15,111.43,112.8,108.91,110.22,67091900,110.22
1/14/15,109.04,110.49,108.5,109.8,48956600,109.8
1/15/15,110,110.06,106.66,106.82,60014000,106.82
1/16/15,107.03,107.58,105.2,105.99,77052500,105.99
